Hospital,CCN,State,453,454,455,456,457,458,459,460,471,472,473,Hospital_Normalized,Average_Base_Rate,Positive_DRG_Count,CMS_Hospital_Name,CMS_State,CMS_City,CMS_Star_Rating,CMS_Normalized_Name,CMS_Match_Method,CMS_Name_Match_Score,Blue_Distinction,Blue_Distinction_Type,BCBS_Matched_Name,BCBS_Match_Score,BCBS_Match_Method
Hemphill County Hospital,450578,TX,0,0,0,0,0,0,0,0,0,0,0,HEMPHILL COUNTY HOSPITAL,0.0,0,HEMPHILL COUNTY HOSPITAL,TX,CANADIAN,,HEMPHILL COUNTY HOSPITAL,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST HOSPITAL,64.0,Fuzzy name
Hendrick Medical Center Brownwood,450587,TX,6549,6121,6348,6015,6180,6538,4936,5813,4541,4622,4687,HENDRICK MED CTR BROWNWOOD,5668.181818181818,11,HENDRICK MEDICAL CENTER BROWNWOOD,TX,BROWNWOOD,1.0,HENDRICK MED CTR BROWNWOOD,CCN,,Yes,BDC+,HENDRICK MEDICAL CENTER,100.0,Fuzzy name
Dewitt Medical District,450597,TX,16056,15522,16265,16219,16139,16934,14423,16537,15262,14938,14448,DEWITT MEDICAL DISTRICT,15703.90909090909,11,CUERO REGIONAL HOSPITAL,TX,CUERO,4.0,CUERO REGIONAL HOSPITAL,CCN,,No,,Medical City Dallas,61.9,Fuzzy name
Hill Country Memorial Hospital,450604,TX,9225,10007,10386,8866,8749,8881,7447,8220,7379,7342,7043,HILL COUNTRY MEMORIAL HOSPITAL,8504.09090909091,11,HILL COUNTRY MEMORIAL HOSPITAL,TX,FREDERICKSBURG,4.0,HILL COUNTRY MEMORIAL HOSPITAL,CCN,,No,,Midland Memorial Hospital,81.0,Fuzzy name
Medical City Denton,450634,TX,14960,14421,15055,14515,14389,15383,14483,14909,14829,15047,14919,MEDICAL CITY DENTON,14810.0,11,MEDICAL CITY DENTON,TX,DENTON,4.0,MEDICAL CITY DENTON,CCN,,No,,Medical City Dallas,77.4,Fuzzy name
Doctors Hospital Of Laredo,450643,TX,9383,8852,9238,9522,9476,9157,9132,9570,8975,9097,9025,DOCTORS HOSPITAL LAREDO,9220.636363636364,11,DOCTORS HOSPITAL OF LAREDO,TX,LAREDO,4.0,DOCTORS HOSPITAL LAREDO,CCN,,Review,BDC+,DOCTORS HOSPITAL AT RENAISSANCE,82.1,Fuzzy name
Starr County Memorial Hospital,450654,TX,8891,8544,8915,8742,9172,9490,8699,9214,8741,8854,8847,STARR COUNTY MEMORIAL HOSPITAL,8919.0,11,STARR COUNTY MEMORIAL HOSPITAL,TX,RIO GRANDE CITY,2.0,STARR COUNTY MEMORIAL HOSPITAL,CCN,,No,,Midland Memorial Hospital,81.0,Fuzzy name
Nacogdoches Medical Center,450656,TX,8224,7902,8235,8093,8481,8766,8053,8524,8095,8196,8185,NACOGDOCHES MED CTR,8250.363636363636,11,NACOGDOCHES MEDICAL CENTER,TX,NACOGDOCHES,3.0,NACOGDOCHES MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
Hca Houston Healthcare Medical Center,450659,TX,13637,13102,13654,13418,14063,14535,13353,22515,13422,13589,13571,HCA HOUSTON HEALTHCARE MED CTR,14441.727272727272,11,HCA HOUSTON HEALTHCARE MEDICAL CENTER,TX,HOUSTON,4.0,HCA HOUSTON HEALTHCARE MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
Valley Regional Medical Center,450662,TX,17727,17032,17749,17443,18281,18895,17358,18372,17447,17666,17642,VALLEY REGIONAL MED CTR,17782.909090909092,11,VALLEY REGIONAL MEDICAL CENTER,TX,BROWNSVILLE,2.0,VALLEY REGIONAL MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
The Woman's Hospital Of Texas,450674,TX,12865,12361,12881,12659,13267,13713,12597,22084,12662,12821,12803,WOMAN S HOSPITAL TEXAS,13701.181818181818,11,"WOMANS HOSPITAL OF TEXAS,THE",TX,HOUSTON,4.0,WOMANS HOSPITAL TEXAS,CCN,,No,,BS&W TEXAS SPINE & JOINT HOSPITAL,77.8,Fuzzy name
Texas Health Huguley Hospital Fort Worth South,450677,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH,32096.090909090908,10,TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH,TX,FORT WORTH,3.0,TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
White Rock Medical Center,450678,TX,12288,11879,12448,12412,12352,12960,11038,12656,11680,11433,11057,WHITE ROCK MED CTR,12018.454545454546,11,WHITE ROCK MEDICAL CENTER,TX,DALLAS,2.0,WHITE ROCK MED CTR,CCN,,No,,BS&W MEDICAL CENTER ROUND ROCK,80.0,Fuzzy name
University Medical Center,450686,TX,9057,8704,9081,8905,9343,9667,8861,9386,8904,9019,9012,UNIVERSITY MED CTR,9085.363636363636,11,UNIVERSITY MEDICAL CENTER,TX,LUBBOCK,2.0,UNIVERSITY MED CTR,CCN,,Yes,BDC,Baylor University Medical Center,100.0,Fuzzy name
Longview Regional Medical Center,450702,TX,5731,5356,5555,5263,5408,5721,4319,5087,3973,4044,4102,LONGVIEW REGIONAL MED CTR,4959.909090909091,11,LONGVIEW REGIONAL MEDICAL CENTER,TX,LONGVIEW,3.0,LONGVIEW REGIONAL MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
Houston Methodist Clear Lake Hospital,450709,TX,14879,14298,14918,14628,15348,15880,14556,15418,14626,14816,14805,HOUSTON METHODIST CLEAR LAKE HOSPITAL,14924.727272727272,11,HOUSTON METHODIST CLEAR LAKE HOSPITAL,TX,NASSAU BAY,5.0,HOUSTON METHODIST CLEAR LAKE HOSPITAL,CCN,,Yes,BDC,HOUSTON METHODIST HOSPITAL,100.0,Fuzzy name
Carrollton Regional Medical Center,450730,TX,18010,16989,17730,18277,18188,17249,17527,18368,17225,17459,17322,CARROLLTON REGIONAL MED CTR,17667.636363636364,11,CARROLLTON REGIONAL MEDICAL CENTER,TX,CARROLLTON,2.0,CARROLLTON REGIONAL MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
Baylor Scott & White Medical Center - Lake Pointe,450742,TX,10941,10941,10941,10941,10941,10941,10941,10941,10941,10941,10941,BAYLOR SCOTT AND WHITE MED CTR LAKE POINTE,10941.0,11,BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE,TX,ROWLETT,4.0,BAYLOR SCOTT AND WHITE MED CTR LAKE POINTE,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
Texas Health Denton,450743,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH DENTON,32096.090909090908,10,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,TX,DENTON,5.0,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,CCN,,No,,Texas Health Hospital Frisco,77.4,Fuzzy name
Tops Surgical Specialty Hospital,450774,TX,18785,18048,18808,18484,19371,20023,18393,19468,18488,18720,18694,TOPS SURGICAL SPECIALTY HOSPITAL,18843.81818181818,11,TOPS SURGICAL SPECIALTY HOSPITAL,TX,HOUSTON,,TOPS SURGICAL SPECIALTY HOSPITAL,CCN,,No,,PHYSICIANS SURGICAL HOSPITALS LLC,70.8,Fuzzy name
Texas Health Southwest Fort Worth,450779,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH SOUTHWEST FORT WORTH,32096.090909090908,10,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,TX,FORT WORTH,5.0,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,CCN,,No,,Texas Health Hospital Frisco,65.6,Fuzzy name
Texas Orthopedic Hospital,450804,TX,9227,8865,9238,9079,9515,9835,9035,19121,9081,9195,9183,TEXAS ORTHOPEDIC HOSPITAL,10124.90909090909,11,TEXAS ORTHOPEDIC HOSPITAL,TX,HOUSTON,,TEXAS ORTHOPEDIC HOSPITAL,CCN,,Yes,BDC,TEXAS ORTHOPEDIC HOSPITAL,100.0,Exact normalized name
Northwest Hills Surgical Hospital,450808,TX,0,0,0,0,0,0,0,0,0,0,0,NORTHWEST HILLS SURGICAL HOSPITAL,0.0,0,NORTHWEST HILLS SURGICAL HOSPITAL,TX,AUSTIN,,NORTHWEST HILLS SURGICAL HOSPITAL,CCN,,No,,Bs&W Surgical Hospital Fort Worth,71.4,Fuzzy name
Medical City Las Colinas,450822,TX,14707,14177,14800,14269,14146,15122,14238,14657,14578,14793,14667,MEDICAL CITY LAS COLINAS,14559.454545454546,11,MEDICAL CITY LAS COLINAS,TX,IRVING,4.0,MEDICAL CITY LAS COLINAS,CCN,,No,,Medical City Dallas,79.1,Fuzzy name
Cornerstone Regional Hospital,450825,TX,4995,4712,4917,5069,5044,4874,4861,5094,4777,4842,4804,CORNERSTONE REGIONAL HOSPITAL,4908.090909090909,11,CORNERSTONE REGIONAL HOSPITAL,TX,EDINBURG,,CORNERSTONE REGIONAL HOSPITAL,CCN,,No,,DOCTORS HOSPITAL AT RENAISSANCE,63.2,Fuzzy name
Kell West Regional Hospital Llc,450827,TX,4413,4254,4441,4282,4245,4538,4272,4398,4375,4439,4401,KELL WEST REGIONAL HOSPITAL LLC,4368.909090909091,11,KELL WEST REGIONAL HOSPITAL,TX,WICHITA FALLS,,KELL WEST REGIONAL HOSPITAL,CCN,,No,,PHYSICIANS SURGICAL HOSPITALS LLC,59.4,Fuzzy name
"Surgery Specialty Hospitals Of America, S.e. Houston",450831,TX,7485,7236,7582,7560,7523,7894,6723,7709,7114,6964,6735,SURGERY SPECIALTY HOSPITALS AMERICA S E HOUSTON,7320.454545454545,11,SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON,TX,PASADENA,,SURGERY SPECIALTY HOSPITALS AMERICA SE HOUSTON,CCN,,No,,METHODIST HOSPITAL FOR SURGERY,59.7,Fuzzy name
Ennis Regional Medical Center,450833,TX,8187,7996,8077,8695,8198,8744,7010,7517,6401,6154,6105,ENNIS REGIONAL MED CTR,7553.090909090909,11,ENNIS REGIONAL MEDICAL CENTER,TX,ENNIS,,ENNIS REGIONAL MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
The Physicians Centre Hospital,450834,TX,5642,8175,9200,5932,8230,9401,7539,9112,9062,9196,9118,PHYSICIANS CENTRE HOSPITAL,8237.0,11,"PHYSICIANS CENTRE,THE",TX,BRYAN,,PHYSICIANS CENTRE,CCN,,No,,PHYSICIANS SURGICAL HOSPITALS LLC,64.4,Fuzzy name
Texas Health Presbyterian Hospital Allen,450840,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,32096.090909090908,10,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,TX,ALLEN,4.0,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Baylor Scott & White Heart And Vascular Hospital - Dallas,450851,TX,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,BAYLOR SCOTT AND WHITE HEART AND VASCULAR HOSPITAL DALLAS,12230.0,11,BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS,TX,DALLAS,5.0,BAYLOR SCOTT AND WHITE HEART AND VASCULAR HOSPITAL DALLAS,CCN,,No,,Bs&W Surgical Hospital Fort Worth,57.8,Fuzzy name
