Hospital,CCN,State,453,454,455,456,457,458,459,460,471,472,473,Hospital_Normalized,Average_Base_Rate,Positive_DRG_Count,CMS_Hospital_Name,CMS_State,CMS_City,CMS_Star_Rating,CMS_Normalized_Name,CMS_Match_Method,CMS_Name_Match_Score,Blue_Distinction,Blue_Distinction_Type,BCBS_Matched_Name,BCBS_Match_Score,BCBS_Match_Method
Lake Granbury Medical Center,045596,TX,21637,21134,21347,22981,21665,23111,18528,19867,16916,16265,16135,LAKE GRANBURY MED CTR,19962.363636363636,11,LAKE GRANBURY MEDICAL CENTER,TX,GRANBURY,3.0,LAKE GRANBURY MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Nocona General Hospital,045641,TX,8300,7976,8322,8160,8562,8859,8120,8601,8159,8265,8259,NOCONA GENERAL HOSPITAL,8325.727272727272,11,NOCONA GENERAL HOSPITAL,TX,NOCONA,1.0,NOCONA GENERAL HOSPITAL,Exact/fuzzy hospital name,100.0,No,,NORTH CENTRAL BAPTIST HOSPITAL,64.2,Fuzzy name
Freestone Medical Center,045658,TX,10980,10552,11009,10795,11326,11719,10742,11378,10794,10933,10925,FREESTONE MED CTR,11013.90909090909,11,FREESTONE MEDICAL CENTER,TX,FAIRFIELD,,FREESTONE MED CTR,Exact/fuzzy hospital name,100.0,No,,Texoma Medical Center,66.7,Fuzzy name
Dallas Regional Medical Center,045688,TX,15303,14706,15344,15045,15786,16333,14971,15858,15044,15238,15227,DALLAS REGIONAL MED CTR,15350.454545454546,11,DALLAS MEDICAL CENTER,TX,DALLAS,3.0,DALLAS MED CTR,Exact/fuzzy hospital name,100.0,No,,Medical City Dallas,76.2,Fuzzy name
El Campo Memorial Hospital,045694,TX,6104,5758,6009,6195,6165,5957,5940,6226,5838,5918,5871,EL CAMPO MEMORIAL HOSPITAL,5998.272727272727,11,MEMORIAL HOSPITAL,TX,GONZALES,,MEMORIAL HOSPITAL,Exact/fuzzy hospital name,100.0,No,,Midland Memorial Hospital,81.0,Fuzzy name
Covenant Hospital Levelland,045755,TX,17506,16875,17616,16985,16838,18000,16947,17446,17680,17940,17788,COVENANT HOSPITAL LEVELLAND,17420.090909090908,11,COVENANT HOSPITAL LEVELLAND,TX,LEVELLAND,,COVENANT HOSPITAL LEVELLAND,Exact/fuzzy hospital name,100.0,No,,Texas Health Hospital Frisco,61.8,Fuzzy name
Harlingen Medical Center,045855,TX,7285,7001,7305,7163,7515,7776,7127,7550,7162,7254,7249,HARLINGEN MED CTR,7307.909090909091,11,HARLINGEN MEDICAL CENTER,TX,HARLINGEN,4.0,HARLINGEN MED CTR,Exact/fuzzy hospital name,100.0,No,,HENDRICK MEDICAL CENTER,66.7,Fuzzy name
Ut Health East Texas Rehabilitation Hospital,045072,TX,0,0,0,0,0,0,0,0,0,0,0,UT HEALTH EAST TEXAS REHABILITATION HOSPITAL,0.0,0,,,,,,No match,89.2,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Memorial Hermann Surgical Hospital Kingwood,670005,TX,9308,8943,9319,9159,9598,9921,9114,9646,9161,9276,9263,MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD,9337.09090909091,11,MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD,TX,KINGWOOD,,MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD,CCN,,Yes,BDC,MEMORIAL HERMANN SW HOSPITAL,94.3,Fuzzy name
The Hospital At Westlake Medical Center,670006,TX,5308,17440,19638,17340,16219,28315,17255,22104,5218,5285,5282,HOSPITAL WESTLAKE MED CTR,14491.272727272728,11,THE HOSPITAL AT WESTLAKE MEDICAL CENTER,TX,AUSTIN,,HOSPITAL WESTLAKE MED CTR,CCN,,No,,Methodist Southlake Hospital,71.7,Fuzzy name
Houston Physicians' Hospital,670008,TX,9110,8806,9228,9202,9157,9607,8183,9382,8659,8475,8197,HOUSTON PHYSICIANS HOSPITAL,8909.636363636364,11,MEMORIAL HERMANN HOUSTON PHYSICIANS HOSPITAL,TX,WEBSTER,,MEMORIAL HERMANN HOUSTON PHYSICIANS HOSPITAL,CCN,,No,,HOUSTON METHODIST HOSPITAL,76.2,Fuzzy name
Baylor Scott & White The Heart Hospital - Plano,670025,TX,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,BAYLOR SCOTT AND WHITE HEART HOSPITAL PLANO,12230.0,11,BAYLOR SCOTT & WHITE THE HEART HOSPITAL PLANO,TX,PLANO,4.0,BAYLOR SCOTT AND WHITE HEART HOSPITAL PLANO,CCN,,No,,BS&W TEXAS SPINE & JOINT HOSPITAL,59.0,Fuzzy name
St. Luke's Patients Medical Center,670031,TX,12422,11937,12455,12213,12814,13258,12153,12872,12211,12369,12360,ST LUKE S PATIENTS MED CTR,12460.363636363636,11,ST LUKE'S PATIENTS MEDICAL CENTER,TX,PASADENA,3.0,ST LUKE S PATIENTS MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
Baylor Scott & White Medical Center - Round Rock,670034,TX,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,BAYLOR SCOTT AND WHITE MED CTR ROUND ROCK,11180.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,TX,ROUND ROCK,4.0,BAYLOR SCOTT AND WHITE MED CTR ROUND ROCK,CCN,,Review,BDC+,BS&W MEDICAL CENTER ROUND ROCK,89.8,Fuzzy name
Cedar Park Regional Medical Center,670043,TX,0,0,0,0,0,0,0,0,0,0,0,CEDAR PARK REGIONAL MED CTR,0.0,0,ASCENSION SETON CEDAR PARK,TX,CEDAR PARK,3.0,ASCENSION SETON CEDAR PARK,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
Texas Health Hospital Rockwall,670044,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH HOSPITAL ROCKWALL,32096.090909090908,10,TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL,TX,ROCKWALL,5.0,TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
North Central Surgical Center,670049,TX,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,NORTH CENTRAL SURGICAL CENTER,11861.0,11,NORTH CENTRAL SURGICAL CENTER LLP,TX,DALLAS,,NORTH CENTRAL SURGICAL CENTER LLP,CCN,,Yes,BDC,North Central Surgical Center,100.0,Exact normalized name
St. Luke's Sugar Land Hospital,670053,TX,12422,11937,12455,12213,12814,13258,12153,12872,12211,12369,12360,ST LUKE S SUGAR LAND HOSPITAL,12460.363636363636,11,ST LUKE'S SUGAR LAND HOSPITAL,TX,SUGAR LAND,3.0,ST LUKE S SUGAR LAND HOSPITAL,CCN,,No,,HOUSTON METHODIST SUGAR LAND HOSP,67.7,Fuzzy name
Foundation Surgical Hospital Of San Antonio,670054,TX,14494,13926,14512,14262,14947,15449,14192,15022,14265,14444,14424,FOUNDATION SURGICAL HOSPITAL SAN ANTONIO,14539.727272727272,11,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,TX,SAN ANTONIO,,FOUNDATION SURGICAL HOSPITAL SAN ANTONIO,CCN,,No,,Bs&W Surgical Hospital Fort Worth,64.9,Fuzzy name
St Luke's Lakeside Hospital,670059,TX,12422,11937,12455,12213,12814,13258,12153,12872,12211,12369,12360,ST LUKE S LAKESIDE HOSPITAL,12460.363636363636,11,CHI ST LUKES LAKESIDE HOSPITAL,TX,THE WOODLANDS,,CHI ST LUKES LAKESIDE HOSPITAL,CCN,,No,,Chi St Lukes The Woodlands Hsptl,58.2,Fuzzy name
Baylor Scott & White Medical Center - Sunnyvale,670060,TX,10062,10062,10062,10062,10062,10062,10062,10062,10062,10062,10062,BAYLOR SCOTT AND WHITE MED CTR SUNNYVALE,10062.0,11,BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE,TX,SUNNYVALE,2.0,BAYLOR SCOTT AND WHITE MED CTR SUNNYVALE,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
Baylor Scott & White Emergency Hospital,670062,TX,10431,10431,10431,10431,10431,10431,10431,10431,10431,10431,10431,BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL,10431.0,11,BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY,TX,AUBREY,,BAYLOR EMERGENCY MED CTR AUBREY,CCN,,No,,Bs&W Surgical Hospital Fort Worth,61.5,Fuzzy name
Baylor Scott & White Orthopedic And Spine Hospital,670067,TX,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,11861,BAYLOR SCOTT AND WHITE ORTHOPEDIC AND SPINE HOSPITAL,11861.0,11,BAYLOR SCOTT AND WHITE ORTHOPEDIC AND SPINE HOSPI,TX,ARLINGTON,,BAYLOR SCOTT AND WHITE ORTHOPEDIC AND SPINE HOSPI,CCN,,Review,BDC,TEXAS ORTHOPEDIC HOSPITAL,86.4,Fuzzy name
Texas Health Presbyterian Hospital Flower Mound,670068,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,32096.090909090908,10,TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,TX,FLOWER MOUND,5.0,TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Methodist Mckinney Hospital,670069,TX,27978,26887,28053,27507,28861,29862,27372,28993,27504,27859,27839,METHODIST MCKINNEY HOSPITAL,28065.0,11,METHODIST MCKINNEY HOSPITAL,TX,MCKINNEY,,METHODIST MCKINNEY HOSPITAL,CCN,,No,,HOUSTON METHODIST HOSPITAL,81.8,Fuzzy name
Texas Health Heart & Vascular Hospital,670071,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH HEART AND VASCULAR HOSPITAL,32096.090909090908,10,TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,TX,ARLINGTON,4.0,TEXAS HEALTH HEART AND VASCULAR HOSPITAL ARLINGTON,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Methodist Hospital For Surgery,670073,TX,29121,27985,29199,28631,30040,31082,28490,30178,28628,28998,28977,METHODIST HOSPITAL FOR SURGERY,29211.727272727272,11,METHODIST HOSPITAL FOR SURGERY,TX,ADDISON,4.0,METHODIST HOSPITAL FOR SURGERY,CCN,,Yes,BDC,METHODIST HOSPITAL FOR SURGERY,100.0,Exact normalized name
St Lukes Hospital At The Vintage,670075,TX,12422,11937,12455,12213,12814,13258,12153,12872,12211,12369,12360,ST LUKES HOSPITAL VINTAGE,12460.363636363636,11,ST LUKE'S HOSPITAL AT THE VINTAGE,TX,HOUSTON,4.0,ST LUKE S HOSPITAL VINTAGE,CCN,,No,,Chi St Lukes The Woodlands Hsptl,60.4,Fuzzy name
Baylor Scott & White Surgical Hospital At Sherman,670076,TX,10062,10062,10062,10062,10062,10062,10062,10062,10062,10062,10062,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL SHERMAN,10062.0,11,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,TX,SHERMAN,3.0,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL SHERMA,CCN,,No,,Bs&W Surgical Hospital Fort Worth,72.4,Fuzzy name
Baptist Neighborhood Hospital,670078,TX,13045,12533,13061,12836,13452,13904,12773,13519,12839,12999,12982,BAPTIST NEIGHBORHOOD HOSPITAL,13085.727272727272,11,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,TX,SAN ANTONIO,5.0,BAPTIST NEIGHBORHOOD HOSPITAL THOUSAND OAKS,CCN,,No,,NORTH CENTRAL BAPTIST HOSPITAL,71.2,Fuzzy name
Seton Medical Center Harker Heights,670080,TX,0,0,0,0,0,0,0,0,0,0,0,SETON MED CTR HARKER HEIGHTS,0.0,0,SETON MEDICAL CENTER HARKER HEIGHTS,TX,HARKER HEIGHTS,4.0,SETON MED CTR HARKER HEIGHTS,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
Baylor Scott & White Medical Center - Mckinney,670082,TX,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,BAYLOR SCOTT AND WHITE MED CTR MCKINNEY,11762.0,11,BAYLOR SCOTT AND WHITE  MEDICAL CENTER  MCKINNEY,TX,MC KINNEY,4.0,BAYLOR SCOTT AND WHITE MED CTR MCKINNEY,CCN,,Review,BDC,BS&W MEDICAL CENTER MCKINNEY,88.9,Fuzzy name
Texas Health Alliance,670085,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH ALLIANCE,32096.090909090908,10,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,TX,FORT WORTH,5.0,TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,CCN,,No,,Texas Health Hospital Frisco,72.7,Fuzzy name
Baylor Scott & White Medical Center - College Station,670088,TX,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,BAYLOR SCOTT AND WHITE MED CTR COLLEGE STATION,11180.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,TX,COLLEGE STATION,4.0,BAYLOR SCOTT AND WHITE MED CTR COLLEGE STATI,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
"Lancaster Regional Hospital, Lp",670090,TX,21231,20028,20902,21546,21442,20719,20663,21654,20307,20583,20421,LANCASTER REGIONAL HOSPITAL LP,20863.272727272728,11,CRESCENT MEDICAL CENTER LANCASTER,TX,LANCASTER,2.0,CRESCENT MED CTR LANCASTER,CCN,,No,,USMD Hospital at Arlington LP,60.7,Fuzzy name
Resolute Baptist Hospital,670098,TX,14763,14184,14781,14526,15224,15736,14455,15300,14530,14712,14692,RESOLUTE BAPTIST HOSPITAL,14809.363636363636,11,RESOLUTE HEALTH HOSPITAL,TX,NEW BRAUNFELS,4.0,RESOLUTE HEALTH HOSPITAL,CCN,,No,,NORTH CENTRAL BAPTIST HOSPITAL,78.0,Fuzzy name
Ad Hospital East Llc,670102,TX,7344,7967,8268,7058,6965,7070,5928,6544,5874,5845,5606,AD HOSPITAL EAST LLC,6769.909090909091,11,"AD HOSPITAL EAST, LLC",TX,HOUSTON,,AD HOSPITAL EAST LLC,CCN,,No,,DOCTORS HOSPITAL AT RENAISSANCE,62.5,Fuzzy name
Medical City Alliance,670103,TX,14658,14129,14750,14221,14098,15071,14189,14607,14529,14743,14618,MEDICAL CITY ALLIANCE,14510.272727272728,11,MEDICAL CITY ALLIANCE,TX,FORT WORTH,3.0,MEDICAL CITY ALLIANCE,CCN,,Review,BDC,Medical City Dallas,85.0,Fuzzy name
Hca Houston Healthcare Pearland,670106,TX,13637,13102,13654,13418,14063,14535,13353,22515,13422,13589,13571,HCA HOUSTON HEALTHCARE PEARLAND,14441.727272727272,11,HCA HOUSTON HEALTHCARE PEARLAND,TX,PEARLAND,3.0,HCA HOUSTON HEALTHCARE PEARLAND,CCN,,No,,HOUSTON METHODIST THE WOODLANDS,55.2,Fuzzy name
Baylor Scott & White Emergency Hospital,670107,TX,10431,10431,10431,10431,10431,10431,10431,10431,10431,10431,10431,BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL,10431.0,11,BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL,TX,BURLESON,,BAYLOR SCOTT AND WHITE EMERGENCY HOSPITAL,CCN,,No,,Bs&W Surgical Hospital Fort Worth,61.5,Fuzzy name
Baylor Scott & White Medical Center - Marble Falls,670108,TX,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,BAYLOR SCOTT AND WHITE MED CTR MARBLE FALLS,11180.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,TX,MARBLE FALLS,4.0,BAYLOR SCOTT AND WHITE MED CTR MARBLE FALLS,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
Baytown Medical Center Lp,670109,TX,10116,9721,10142,9945,10435,10797,9896,10482,9944,10073,10065,BAYTOWN MED CTR LP,10146.90909090909,11,BAYTOWN MEDICAL CENTER LP,TX,BAYTOWN,,BAYTOWN MED CTR LP,CCN,,No,,B S & W MEDICAL CENTER UPTOWN,66.7,Fuzzy name
Legent Orthopedic + Spine,670112,TX,16392,15801,16495,14785,10240,10947,14752,15186,10552,15327,15197,LEGENT ORTHOPEDIC SPINE,14152.181818181818,11,LEGENT ORTHOPEDIC + SPINE,TX,SAN ANTONIO,,LEGENT ORTHOPEDIC SPINE,CCN,,Review,BDC,LEGENT ORTHOPEDIC HOSPITAL,85.7,Fuzzy name
Wise Health System,670116,TX,15393,14521,15154,15621,15545,15021,14980,15699,14723,14922,14805,WISE,15125.818181818182,11,,,,,,No match,35.3,No,,Medical City Dallas,26.1,Fuzzy name
The Hospitals Of Providence Transmountain Campus,670120,TX,17229,16554,17251,16953,17767,18365,16871,17856,16958,17170,17146,HOSPITALS PROVIDENCE TRANSMOUNTAIN CAMPUS,17283.636363636364,11,THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS,TX,EL PASO,2.0,HOSPITALS PROVIDENCE TRANSMOUNTAIN CAMPUS,CCN,,No,,ASCENSION PROVIDENCE,66.7,Fuzzy name
Houston Methodist The Woodlands Hospital,670122,TX,14879,14298,14918,14628,15348,15880,14556,15418,14626,14816,14805,HOUSTON METHODIST WOODLANDS HOSPITAL,14924.727272727272,11,HOUSTON METHODIST THE WOODLANDS HOSPITAL,TX,THE WOODLANDS,5.0,HOUSTON METHODIST WOODLANDS HOSPITAL,CCN,,Yes,BDC,HOUSTON METHODIST HOSPITAL,100.0,Fuzzy name
The Hospitals Of Providence Horizon City Campus,670124,TX,14596,14024,14614,14362,15052,15558,14292,15127,14365,14545,14526,HOSPITALS PROVIDENCE HORIZON CITY CAMPUS,14641.90909090909,11,THE HOSPITALS OF PROVIDENCE HORIZON CITY CAMPUS,TX,HORIZON CITY,,HOSPITALS PROVIDENCE HORIZON CITY CAMPUS,CCN,,No,,ASCENSION PROVIDENCE,66.7,Fuzzy name
Methodist Southlake Medical Center,670132,TX,15092,14504,15133,14838,15569,16109,14765,15640,14837,15028,15018,METHODIST SOUTHLAKE MED CTR,15139.363636363636,11,METHODIST SOUTHLAKE MEDICAL CENTER,TX,SOUTHLAKE,,METHODIST SOUTHLAKE MED CTR,CCN,,Review,BDC,Methodist Southlake Hospital,82.6,Fuzzy name
Altus Houston Hospital Lp,670135,TX,6744,6481,6762,6630,6957,7198,6598,6988,6629,6715,6710,ALTUS HOUSTON HOSPITAL LP,6764.727272727273,11,"ALTUS HOUSTON HOSPITAL, LP",TX,HOUSTON,,ALTUS HOUSTON HOSPITAL LP,CCN,,No,,HOUSTON METHODIST HOSPITAL,78.0,Fuzzy name
Baylor Scott & White Medical Center - Austin,670136,TX,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,11180,BAYLOR SCOTT AND WHITE MED CTR AUSTIN,11180.0,11,BAYLOR SCOTT & WHITE MEDICAL CENTER- AUSTIN,TX,AUSTIN,,BAYLOR SCOTT AND WHITE MED CTR AUSTIN,CCN,,No,,Baylor University Medical Center,71.8,Fuzzy name
Ascension Seton Bastrop,670143,TX,0,0,0,0,0,0,0,0,0,0,0,ASCENSION SETON BASTROP,0.0,0,,,,,,No match,85.7,Review,BDC,Ascension Seton Hays,85.7,Fuzzy name
Caprock Hospital,670259,TX,6582,6209,6480,6679,6647,6423,6405,6713,6295,6381,6331,CAPROCK HOSPITAL,6467.727272727273,11,,,,,,No match,80.0,No,,Bs&W Surgical Hospital Fort Worth,66.7,Fuzzy name
Texas Health Hospital Frisco,670260,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH HOSPITAL FRISCO,32096.090909090908,10,TEXAS HEALTH HOSPITAL FRISCO,TX,FRISCO,4.0,TEXAS HEALTH HOSPITAL FRISCO,CCN,,Yes,BDC,Texas Health Hospital Frisco,100.0,Exact normalized name
Legent Orthopedic Hospital Carrollton,670265,TX,16530,15934,16634,14268,13510,14442,14237,14656,13922,14792,14666,LEGENT ORTHOPEDIC HOSPITAL CARROLLTON,14871.90909090909,11,LEGENT ORTHOPEDIC HOSPITAL,TX,GRAPEVINE,,LEGENT ORTHOPEDIC HOSPITAL,CCN,,Yes,BDC,LEGENT ORTHOPEDIC HOSPITAL,100.0,Fuzzy name
Townsen Memorial Hospital,670266,TX,6744,6481,6762,6630,6957,7198,6598,6988,6629,6715,6710,TOWNSEN MEMORIAL HOSPITAL,6764.727272727273,11,TOWNSEN MEMORIAL HOSPITAL,TX,HUMBLE,,TOWNSEN MEMORIAL HOSPITAL,CCN,,No,,MEMORIAL HERMANN SW HOSPITAL,81.0,Fuzzy name
The Woodlands Specialty Hospital,670267,TX,7128,6871,7173,6916,6856,7330,6901,7104,7066,7170,7109,WOODLANDS SPECIALTY HOSPITAL,7056.727272727273,11,THE WOODLANDS SPECIALTY HOSPITAL,TX,SPRING,,WOODLANDS SPECIALTY HOSPITAL,CCN,,No,,Midland Memorial Hospital,71.7,Fuzzy name
North Houston Surgical Hospital Llc,670280,TX,7262,6979,7282,7140,7492,7751,7105,7526,7139,7232,7226,NORTH HOUSTON SURGICAL HOSPITAL LLC,7284.909090909091,11,,,,,,No match,93.9,No,,LEGENT N HOUSTON SURGICAL HOSP,76.9,Fuzzy name
Texas Health Hospital Mansfield,670309,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH HOSPITAL MANSFIELD,32096.090909090908,10,TEXAS HEALTH HOSPITAL MANSFIELD,TX,MANSFIELD,5.0,TEXAS HEALTH HOSPITAL MANSFIELD,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Trinity Regional Hospital Sachse,670319,TX,8295,7970,8305,8162,8554,8841,8122,8597,8164,8266,8255,TRINITY REGIONAL HOSPITAL SACHSE,8321.0,11,,,,,,No match,87.2,No,,DOCTORS HOSPITAL AT RENAISSANCE,56.7,Fuzzy name
Pam Rehabilitation Hospital Of Allen,673025,TX,0,0,0,0,0,0,0,0,0,0,0,PAM REHABILITATION HOSPITAL ALLEN,0.0,0,,,,,,No match,80.0,No,,Midland Memorial Hospital,58.6,Fuzzy name
Central Texas Rehabilitation Hospital,673027,TX,0,0,0,0,0,0,0,0,0,0,0,CENTRAL TEXAS REHABILITATION HOSPITAL,0.0,0,,,,,,No match,80.0,No,,TEXAS ORTHOPEDIC HOSPITAL,71.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of Richardson,673029,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL RICHARDSON,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Kate Dishman Rehab Hospital,673030,TX,0,0,0,0,0,0,0,0,0,0,0,KATE DISHMAN REHAB HOSPITAL,0.0,0,,,,,,No match,80.0,No,,MEMORIAL HERMANN SW HOSPITAL,61.8,Fuzzy name
Methodist Rehabilitation Hospital,673031,TX,0,0,0,0,0,0,0,0,0,0,0,METHODIST REHABILITATION HOSPITAL,0.0,0,METHODIST HOSPITAL,TX,SAN ANTONIO,4.0,METHODIST HOSPITAL,Exact/fuzzy hospital name,100.0,No,,HOUSTON METHODIST HOSPITAL,81.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of Round Rock,673032,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL ROUND ROCK,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Encompass Health Rehabilitation Hospital Vision Park,673034,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL VISION PARK,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Baylor Institute For Rehabilitation At Fort Worth,673035,TX,0,0,0,0,0,0,0,0,0,0,0,BAYLOR INSTITUTE FOR REHABILITATION FORT WORTH,0.0,0,,,,,,No match,60.6,No,,Bs&W Surgical Hospital Fort Worth,50.6,Fuzzy name
Select Rehabilitation Hospital Of Denton,673036,TX,0,0,0,0,0,0,0,0,0,0,0,SELECT REHABILITATION HOSPITAL DENTON,0.0,0,,,,,,No match,80.0,No,,DOCTORS HOSPITAL AT RENAISSANCE,61.5,Fuzzy name
Memorial Hermann Rehabilitation Hospital Katy,673038,TX,0,0,0,0,0,0,0,0,0,0,0,MEMORIAL HERMANN REHABILITATION HOSPITAL KATY,0.0,0,MEMORIAL HERMANN HOSPITAL SYSTEM,TX,HOUSTON,3.0,MEMORIAL HERMANN,Exact/fuzzy hospital name,100.0,Yes,BDC,MEMORIAL HERMANN SW HOSPITAL,94.3,Fuzzy name
Encompass Health Rehabilitation Hospital Of Abilene,673039,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL ABILENE,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Carrus Rehabilitation Hospital,673041,TX,0,0,0,0,0,0,0,0,0,0,0,CARRUS REHABILITATION HOSPITAL,0.0,0,,,,,,No match,80.0,No,,DOCTORS HOSPITAL AT RENAISSANCE,65.5,Fuzzy name
Encompass Health Rehabilitation Hospital Of Sugar Land,673042,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL SUGAR LAND,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of Dallas,673043,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL DALLAS,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Encompass Health Rehabilitation Hospital Of The Mid-cities,673044,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL MID CITIES,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Mesquite Rehabilitation Institute,673045,TX,0,0,0,0,0,0,0,0,0,0,0,MESQUITE REHABILITATION INSTITUTE,0.0,0,,,,,,No match,53.5,No,,Ascension Seton Med Center Austin,45.5,Fuzzy name
Texas Rehabilitation Hospital Of Fort Worth,673048,TX,0,0,0,0,0,0,0,0,0,0,0,TEXAS REHABILITATION HOSPITAL FORT WORTH,0.0,0,,,,,,No match,80.0,No,,TEXAS ORTHOPEDIC HOSPITAL,71.8,Fuzzy name
New Braunfels Regional Rehabilitation Hospital,673049,TX,0,0,0,0,0,0,0,0,0,0,0,NEW BRAUNFELS REGIONAL REHABILITATION HOSPITAL,0.0,0,,,,,,No match,87.2,No,,Midland Memorial Hospital,53.5,Fuzzy name
Encompass Health Rehabilitation Hospital Of Cypress,673050,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL CYPRESS,0.0,0,,,,,,No match,84.2,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Encompass Health Rehabilitation Hospital The Vintage,673052,TX,0,0,0,0,0,0,0,0,0,0,0,ENCOMPASS HEALTH REHABILITATION HOSPITAL VINTAGE,0.0,0,,,,,,No match,80.0,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
Corpus Christi Rehabilitation Hospital,673053,TX,0,0,0,0,0,0,0,0,0,0,0,CORPUS CHRISTI REHABILITATION HOSPITAL,0.0,0,,,,,,No match,80.0,No,,DOCTORS HOSPITAL AT RENAISSANCE,63.6,Fuzzy name
