BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
Stanford Health Care Tri-Valley,CA,BDC,6,Stanford Health Care Tri-Valley | 5555 W Las Positas Blvd | Pleasanton | CA | 94588 | BDC | No | Hospital,STANFORD HEALTH CARE TRI VALLEY
Sutter Maternity and Surgery Center of Santa Cruz,CA,BDC,6,Sutter Maternity and Surgery Center of Santa Cruz | 2900 Chanticleer Ave | Santa Cruz | CA | 95065 | BDC | No | Hospital,SUTTER MATERNITY AND SURGERY CENTER SANTA CRUZ
Sutter Santa Rosa Regional Hospital,CA,BDC,6,Sutter Santa Rosa Regional Hospital | 30 Mark West Springs Rd | Santa Rosa | CA | 95403 | BDC | No | Hospital,SUTTER SANTA ROSA REGIONAL HOSPITAL
Sutter Solano Med Ctr,CA,BDC,6,Sutter Solano Med Ctr | 300 Hospital Dr | Vallejo | CA | 94589 | BDC | No | Hospital,SUTTER SOLANO MED CTR
Torrance Memorial Medical Center,CA,BDC+,6,Torrance Memorial Medical Center | 3330 LOMITA BLVD | TORRANCE | CA | 90505 | BDC+ | No | Hospital,TORRANCE MEMORIAL MED CTR
Tri City Medical Ctr,CA,BDC,6,Tri City Medical Ctr | 4002 Vista Way | Oceanside | CA | 92056 | BDC | No | Hospital,TRI CITY MEDICAL CTR
Ucsd La Jolla John Sally Thornton,CA,BDC,6,Ucsd La Jolla John Sally Thornton | 9300 CAMPUS POINT DR | LA JOLLA | CA | 92037 | BDC | No | Hospital,UCSD LA JOLLA JOHN SALLY THORNTON
Ucsd Medical Ctr,CA,BDC,6,Ucsd Medical Ctr | 200 W Arbor Dr | San Diego | CA | 92103 | BDC | No | Hospital,UCSD MEDICAL CTR
Ucsd Medical Ctr,CA,BDC+,6,Ucsd Medical Ctr | 200 W Arbor Dr | San Diego | CA | 92103 | BDC+ | No | Hospital,UCSD MEDICAL CTR
Ucsf Medical Center,CA,BDC,6,Ucsf Medical Center | 505 Parnassus Ave | San Francisco | CA | 94143 | BDC | Yes | Hospital,UCSF MED CTR
WOODLAND MEMORIAL HOSP,CA,BDC,6,WOODLAND MEMORIAL HOSP | 1325 COTTONWOOD ST | WOODLAND | CA | 95695 | BDC | No | Hospital,WOODLAND MEMORIAL HOSP
WOODLAND MEMORIAL HOSP,CA,BDC+,6,WOODLAND MEMORIAL HOSP | 1325 COTTONWOOD ST | WOODLAND | CA | 95695 | BDC+ | No | Hospital,WOODLAND MEMORIAL HOSP
Medical Center of The Rockies,CO,BDC,6,Medical Center of The Rockies | 2500 Rocky Mountain Ave | Loveland | CO | 80538-9004 | BDC | No | Hospital,MED CTR ROCKIES
Memorial Health System,CO,BDC,6,Memorial Health System | 1400 E Boulder St | Colorado Springs | CO | 80909 | BDC | Yes | Hospital,MEMORIAL
Poudre Valley Hospital,CO,BDC,6,Poudre Valley Hospital | 1024 S Lemay Ave | Fort Collins | CO | 80524-3929 | BDC | No | Hospital,POUDRE VALLEY HOSPITAL
Rose Medical Ctr,CO,BDC+,6,Rose Medical Ctr | 4567 E 9th Ave | Denver | CO | 80220 | BDC+ | No | Hospital,ROSE MEDICAL CTR
Swedish Medical Center,CO,BDC+,6,Swedish Medical Center | 501 E Hampden Ave | Englewood | CO | 80113 | BDC+ | No | Hospital,SWEDISH MED CTR
Danbury Hospital,CT,BDC,6,Danbury Hospital | 24 Hospital Ave | Danbury | CT | 06810-6099 | BDC | No | Hospital,DANBURY HOSPITAL
Greenwich Hospital,CT,BDC,6,Greenwich Hospital | 5 Perryridge Rd | Greenwich | CT | 06830 | BDC | Yes | Hospital,GREENWICH HOSPITAL
Hartford Hospital,CT,BDC+,6,Hartford Hospital | 80 Seymour St | Hartford | CT | 06102-8000 | BDC+ | No | Hospital,HARTFORD HOSPITAL
John Dempsey Hospital,CT,BDC+,7,John Dempsey Hospital | 263 Farmington Ave | Farmington | CT | 06030 | BDC+ | Yes | Hospital,JOHN DEMPSEY HOSPITAL
Lawrence And Memorial Hospital,CT,BDC+,7,Lawrence And Memorial Hospital | 365 Montauk Ave | New London | CT | 06320-4700 | BDC+ | Yes | Hospital,LAWRENCE AND MEMORIAL HOSPITAL
Midstate Medical Center,CT,BDC+,7,Midstate Medical Center | 435 Lewis Ave | Meriden | CT | 06451-2101 | BDC+ | No | Hospital,MIDSTATE MED CTR
St Marys Hospital Corporation,CT,BDC,7,St Marys Hospital Corporation | 56 Franklin St | Waterbury | CT | 06706-1253 | BDC | No | Hospital,ST MARYS HOSPITAL CORPORATION
