Page,Table,Row,Extracted_Row
9,1,7,Piedmont Fayette Hospital | 1255 Highway 54 W | Fayetteville | GA | 30214-4526 | BDC | Yes | Hospital
9,1,8,Piedmont Henry Hospital | 1133 Eagles Landing Pkwy | Stockbridge | GA | 30281-5085 | BDC | Yes | Hospital
9,1,9,Piedmont Hospital | 1968 Peachtree Rd Nw | Atlanta | GA | 30309-1281 | BDC | Yes | Hospital
9,1,10,Piedmont Rockdale Hospital | 1412 Milstead Ave Ne | Conyers | GA | 30012-3877 | BDC | Yes | Hospital
9,1,11,Tift Regional Medical Center | 901 18th St E | Tifton | GA | 31794-3648 | BDC | Yes | Hospital
9,1,12,Kuakini Medicalctr | 347 N Kuakini St | Honolulu | HI | 96817 | BDC | Yes | Hospital
9,1,13,Queen's Medical Center | 1301 Punchbowl St | Honolulu | HI | 96813 | BDC | No | Hospital
9,1,14,Iowa Methodist Medical Center | 1200 PLEASANT ST | DES MOINES | IA | 50309-1406 | BDC+ | No | Hospital
9,1,15,Mercy Medical Center | 701 10Th St SE | Cedar Rapids | IA | 52403-1251 | BDC+ | Yes | Hospital
9,1,16,MercyOne Des Moines Medical Center | 1111 6TH AVE | DES MOINES | IA | 50314-2613 | BDC | No | Hospital
9,1,17,MercyOne North Iowa Medical Center | 1000 4Th St SW | Mason City | IA | 50401-2800 | BDC+ | No | Hospital
9,1,18,Methodist West Hospital | 1660 60TH ST | WEST DES MOINES | IA | 50266-7700 | BDC | Yes | Hospital
9,1,19,University of Iowa Health Care | 200 Hawkins Dr | Iowa City | IA | 52242-1009 | BDC+ | Yes | Hospital
9,1,20,University of Iowa Health Care Medical Center Hosp | 500 E MARKET ST | IOWA CITY | IA | 52245-2633 | BDC+ | Yes | Hospital
9,1,21,Northwest Specialty Hospital | 1593 E Polston Ave | Post Falls | ID | 83854-5326 | BDC+ | Yes | Hospital
9,1,22,ST LUKES REGIONAL MEDICAL CENTER | 190 E Bannock St | Boise | ID | 83712-6241 | BDC | No | Hospital
9,1,23,TREASURE VALLEY HOSPITAL | 8800 W Emerald St | Boise | ID | 83704-8205 | BDC+ | No | Hospital
9,2,1,DESIGNATION
9,2,2,TYPE
9,3,1,CONSUMER
9,3,2,TRANSPARENCY1
9,4,1,CENTER
9,4,2,TYPE2
10,1,1,PROVIDER NAME | ADDRESS | CITY | STATE | ZIP CODE | DESIGNATION TYPE | CONSUMER TRANSPARENCY1 | CENTER TYPE2
10,1,2,Advocate Christ Hosp Med Cntr | 4440 W 95th St | Oak Lawn | IL | 60453 | BDC+ | No | Hospital
